sanskrit_root,pie_root,iecor_pie_root,set,pie_ends_with_laryngeal,gemini_pie_root,gemini_best_guess,wiktionary_pie_roots,wiktionary_pii_roots,wiktionary_status
भिन्द्,,,Y,N,*bʰeydʰ-,,,,missingtitle
गण्ड्,,,Y,N,*gʷʰen-,N,,,no_pie_found
निन्द्,,,Y,N,*neyH-d-,Y,*h₃neyd-,,ok
नन्द्,,,Y,N,*h₂ned-,N,,,no_pie_found
चन्द्,,,Y,N,*kʷend-,N,,*(s)kand-,ok
त्रन्द्,,,Y,N,*trend-,Y,,,missingtitle
कन्द्,"kand-, skand-, and Indo-Iranian (s)kend-",,Y,N,*kʷend-,Y,*ken-,,ok
क्रन्द्,,,Y,N,*krend-,,*kelh₁-,,ok
क्लन्द्,,,Y,N,*kʷlend-,Y,,,no_pie_found
क्लिन्द्,,,Y,N,*klei-,N,,,no_pie_found
शुन्ध्,,,Y,N,*swendʰ-,,*ḱew-n-dʰ-; *ḱew-,,ok
शीक्,,,Y,N,*sekʷ-,,,,missingtitle
सीक्,,,Y,N,*sekʷ-,N,,,missingtitle
लोक्,,,Y,N,*lewk-,,*lewk-,,ok
श्लोक्,,,Y,N,*ḱlew-,,*ḱlew-,*śláwkas,ok
श्रेक्,,,Y,N,*sreg-,Y,,,missingtitle
द्रेक्,,,Y,N,*dʰreg-,Y,,,missingtitle
ध्रेक्,,,Y,N,*dʰreg-,Y,,,missingtitle
रेक्,"rek̑-, reg̑-",,Y,N,*leikʷ-,Y,,,missingtitle
सेक्,,,Y,N,*sekʷ-,,,,no_pie_found
स्रेक्,,,Y,N,*sreikʷ-,Y,,,missingtitle
स्रङ्क्,,,Y,N,*srengʷ-,Y,,,missingtitle
श्रङ्क्,,,Y,N,*srengʷ-,Y,,,missingtitle
श्लङ्क्,,,Y,N,*slengʷ-,Y,,,missingtitle
शङ्क्,,,Y,N,*kʷenkʷ-,N,*ḱenk-,,ok
अङ्क्,,,Y,N,*h₂negʷ-,N,*h₂ónkos; *h₂enk-,*Hankás; *Hánkas,ok
वङ्क्,,,Y,N,*wegʷʰ-,Y,,,no_pie_found
मङ्क्,,,Y,N,*men-,Y,,,missingtitle
कक्,kāk-,,Y,N,*kak-,Y,,,missingtitle
कुक्,,,Y,-,,,,,no_sanskrit_section
वृक्,,,Y,N,*wṛkʷ-,,*wĺ̥kʷos,*wŕ̥kas,ok
चक्,,,Y,N,*kʷekʷ-,N,,,no_sanskrit_section
कङ्क्,k̑ank-,,Y,N,,,,,no_pie_found
वङ्क्,,,Y,N,*wegʷʰ-,Y,,,no_pie_found
श्वङ्क्,,,Y,-,,,,,missingtitle
त्रङ्क्,,,Y,N,*teren-,Y,,,missingtitle
ढौक्,,,Y,N,*dʰewk-,Y,,,no_pie_found
त्रौक्,,,Y,N,*trowk-,Y,,,missingtitle
ष्वष्क्,,,Y,N,*swes-,Y,,,missingtitle
वस्क्,,,Y,N,*woskʷ-,,,,missingtitle
मस्क्,,,Y,N,*masek-,Y,,,missingtitle
टिक्,,,Y,-,,Y,,,missingtitle
टीक्,,,Y,-,,Y,,,missingtitle
तिक्,,,Y,N,*teiǵ-,Y,,,missingtitle
तीक्,,,Y,N,*steig-,,,,missingtitle
रङ्घ्,,,Y,-,,Y,,,missingtitle
लङ्घ्,,,Y,N,*sleh₂gʷ-,N,*h₁lengʷʰ-,,ok
ष्वक्क्,,,Y,N,*swegʷʰ-,Y,,,missingtitle
अङ्घ्,ang̑h-,,Y,N,*h₂engʷʰ-,Y,,,missingtitle
वङ्घ्,,,Y,-,,Y,,,missingtitle
मङ्घ्,,,Y,N,*mengʷʰ-,Y,,,missingtitle
राघ्,,,Y,N,*reg-,Y,,,missingtitle
लाघ्,lā̆gh-,,Y,N,*h₁legʰ-,N,,,missingtitle
द्राघ्,,,Y,N,*dʰl̥gʰ-,N,,,missingtitle
ध्राघ्,,,Y,N,*dʰregʰ-,,,,missingtitle
श्लाघ्,,,Y,N,*sleh₂gʷʰ-,,,,no_pie_found
फक्क्,,,Y,-,,Y,,,missingtitle
तक्,"tak-, takē(i)-",,Y,N,*tekʷ-,Y,,,no_pie_found
तङ्क्,,,Y,-,,Y,,,missingtitle
बुक्क्,,,Y,-,,Y,,,no_pie_found
शुक्,,,Y,N,*lewk-,Y,*ḱewk-; *kewk-,*ćawk-,ok
कख्,,,Y,N,*kʷekʷ-,Y,,,no_sanskrit_section
ओख्,,,Y,N,*h₂egʷʰ-,Y,,,missingtitle
राख्,,,Y,N,*reǵ-,Y,,,no_sanskrit_section
लाख्,,,Y,N,*legʰ-,Y,,,no_sanskrit_section
द्राख्,,,Y,N,*dʰregʰ-,Y,,,missingtitle
ध्राख्,,,Y,N,*dʰregʰ-,Y,,,missingtitle
शाख्,,,Y,N,*sekʷ-,Y,,,no_pie_found
श्लाख्,,,Y,N,*slekʷ-,Y,,,missingtitle
उख्,,,Y,N,*h₁ewǵʰ-,Y,,,missingtitle
उङ्ख्,,,Y,N,*h₁engʷʰ-,Y,,,missingtitle
वख्,,,Y,N,*weǵʰ-,Y,,,missingtitle
वङ्ख्,,,Y,N,*wengʷʰ-,Y,,,missingtitle
मख्,,,Y,N,*maǵʰ-,Y,,,missingtitle
मङ्ख्,,,Y,N,*mengʷʰ-,Y,,,missingtitle
नख्,,,Y,N,*h₃negʷʰ-,Y,*h₃nogʰ-,*Hnā́kš,ok
नङ्ख्,,,Y,-,,Y,,,missingtitle
रख्,,,Y,N,*reg-,Y,,,no_sanskrit_section
रङ्ख्,,,Y,N,*wreǵ-,Y,,,missingtitle
लख्,,,Y,N,*sleh₂gʷ-,Y,,,missingtitle
लङ्ख्,,,Y,N,*sleh₂gʷ-,Y,,,missingtitle
इख्,,,Y,N,*sekʷ-,Y,,,missingtitle
इङ्ख्,,,Y,N,*sekʷ-,Y,,,missingtitle
जभ्,,,Y,N,*ǵʰabh-,Y,,,missingtitle
ईङ्ख्,,,Y,N,*h₁ey-,N,,,missingtitle
वल्ग्,,,Y,N,*welǵ-,N,,,missingtitle
रङ्ग्,,,Y,N,*reǵ-,N,,,no_pie_found
लङ्ग्,,,Y,N,*sleg-,Y,*(s)leh₁g-,,ok
अङ्ग्,,,Y,N,*h₂negʷ-,N,,,no_pie_found
वङ्ग्,,,Y,N,*wegʷʰ-,Y,,,no_pie_found
मङ्ग्,,,Y,N,*meng-,Y,,,missingtitle
तङ्ग्,,,Y,N,*teg-,Y,,,missingtitle
त्वङ्ग्,,,Y,N,*tewh-,Y,,,missingtitle
श्वेल्,,,Y,N,*swel-,,,,missingtitle
श्रङ्ग्,,,Y,N,*sreng-,Y,,,missingtitle
श्लङ्ग्,,,Y,N,*slek-,N,,,missingtitle
इङ्ग्,,,Y,N,*h₁ey-,Y,,,no_pie_found
रिङ्ग्,,,Y,N,*rei-,Y,,,missingtitle
लिङ्ग्,,,Y,N,*leyǵʰ-,Y,,,no_pie_found
खर्ख्,,,Y,N,*ǵʰers-,Y,,,missingtitle
कक्ख्,,,Y,-,,Y,,,missingtitle
रिख्,,,Y,N,*wreikʷ-,Y,*reyk-; *rey-,,ok
घर्ब्,,,Y,N,*gʷʰerbʰ-,Y,,,missingtitle
नर्ब्,,,Y,-,,Y,,,missingtitle
भर्ब्,,,Y,N,*bʰer-,,,,missingtitle
त्रख्,,,Y,-,,Y,,,missingtitle
त्रिङ्ख्,,,Y,-,,Y,,,missingtitle
शिङ्ख्,,,Y,-,,Y,,,missingtitle
युङ्ग्,,,Y,N,*yewg-,,,,missingtitle
जुङ्ग्,,,Y,-,,Y,,,missingtitle
बुङ्ग्,,,Y,-,,Y,,,missingtitle
वुङ्ग्,,,Y,-,,Y,,,missingtitle
घघ्,,,Y,N,*gʷʰegʷʰ-,N,,,missingtitle
घग्घ्,,,Y,N,*gʷʰegʷʰ-,Y,,,missingtitle
वर्ब्,,,Y,N,*werp-,,,,missingtitle
बभ्र्,,,Y,N,*bʰebʰru-,Y,,,missingtitle
मङ्घ्,,,Y,N,*mengʷʰ-,Y,,,missingtitle
शिङ्घ्,,,Y,N,*sengʷʰ-,Y,,,missingtitle
मज्,,,Y,N,*mezg-,,,,missingtitle
वर्च्,,,Y,N,*wrekʷ-,,,,missingtitle
सच्,,,Y,N,*sekʷ-,,,,no_pie_found
लोच्,,,Y,N,*lewk-,,,,no_pie_found
शच्,,,Y,N,*sekʷ-,Y,,,missingtitle
श्वच्,,,Y,N,*swekʷ-,Y,,,missingtitle
श्वञ्च्,,,Y,N,*swenkʷ-,Y,,,missingtitle
कच्,,,Y,N,*kak-,Y,,,missingtitle
कञ्च्,,,Y,N,*kenk-,Y,,,missingtitle
काञ्च्,,,Y,N,*kenk-,Y,,,missingtitle
मच्,,,Y,N,*mag-,Y,*meh₂ǵ-; *meh₂ḱ-,,ok
मुञ्च्,,,Y,N,*mewk'-,,,,missingtitle
मञ्च्,,,Y,N,*menk-,Y,,,no_pie_found
पञ्च्,,,Y,N,*pénkʷe,,*pénkʷe,*pánća; *pánča,ok
स्तुच्,,,Y,N,*stew-,,,,missingtitle
ऋज्,,,Y,N,*reg-,,*h₃reǵ-,,ok
ऋञ्ज्,,,Y,N,*wreǵ-,,,,missingtitle
भृज्,,,Y,N,*bʰerǵ́-,,,,missingtitle
एज्,,,Y,N,*h₂eǵ-,Y,,,missingtitle
भ्रेज्,,,Y,N,*bʰreǵ-,Y,,,missingtitle
भ्राज्,,,Y,N,*bʰl̥ǵ-,,*bʰreh₁ǵ-,,ok
काड्,,,Y,N,*kad-,N,,,missingtitle
ईज्,,,Y,Y,*yeH-,Y,,,missingtitle
पेब्,,,Y,N,*peib-,Y,,,missingtitle
प्लेब्,,,Y,N,*pleib-,Y,,,missingtitle
शुच्,,,Y,N,*ḱewḱ-,Y,*ḱewk-,*ćawk-,ok
कुच्,,,Y,N,*kʷekʷ-,Y,,,no_pie_found
कुञ्च्,,,Y,N,*kenk-,Y,,,missingtitle
क्रुञ्च्,,,Y,N,*gʷrenkʷ-,Y,,,no_pie_found
लुञ्च्,,,Y,N,*lewk-,Y,*h₃rewk-,*Hrunč-,ok
अञ्च्,,,Y,N,*h₂enk'-,,*h₂enk-,*Hanč-,ok
वञ्च्,,,Y,N,*wenkʷ-,N,*wenk-,*wanč-,ok
चञ्च्,,,Y,N,*kʷenkʷ-,Y,,,missingtitle
तञ्च्,,,N,N,*tenk-,Y,*tenk-,,ok
त्वञ्च्,,,Y,N,*tʷenkʷ-,Y,,,missingtitle
म्रुञ्च्,,,Y,N,*merǵ-,Y,,,missingtitle
म्लुञ्च्,,,Y,N,*melǵ-,Y,,,missingtitle
म्रुच्,,,Y,N,*merǵ-,Y,,,no_pie_found
म्लुच्,,,Y,N,"*mlēw-, *mel-",Y,,,no_pie_found
ग्रुच्,,,Y,N,*gʷʰer-,Y,,,missingtitle
ग्लुच्,,,Y,N,*glew-,Y,,,missingtitle
कुज्,,,Y,N,*gʷekʷ-,Y,,,no_pie_found
खुज्,,,Y,N,*kews-,Y,,,missingtitle
ग्लुञ्च्,,,Y,N,*glewgh-,Y,,,missingtitle
सज्ज्,,,Y,N,*sed-,Y,,,no_pie_found
गुज्,,,Y,N,*gʷewd-,Y,,,no_sanskrit_section
गुञ्ज्,,,Y,Y,*gʷenh₂-,Y,,,missingtitle
अर्च्,,,Y,N,*h₂elḱ-,,*h₁erkʷ-,*Hark-,ok
म्लेच्छ्,,,Y,N,*mélǵ-,Y,,,no_pie_found
लच्छ्,,,Y,-,,Y,,,missingtitle
लाञ्छ्,,,Y,-,,Y,,,no_pie_found
वाञ्छ्,,,Y,-,,Y,*-sḱéti; *wenh₁-,,ok
आञ्छ्,,,Y,-,,Y,*-sḱéti,,ok
ह्रीच्छ्,,,Y,N,*ghrei-,N,,,missingtitle
हूर्छ्,,,Y,N,*wer-,Y,,,missingtitle
मूर्छ्,,,Y,N,*mer-,Y,,*mr̥H-tó-; *mr̥tós,ok
स्फूर्छ्,,,Y,Y,*(s)p(h)erH-,,,,missingtitle
युच्छ्,,,Y,N,*yeug-,Y,,,missingtitle
उञ्छ्,,,Y,N,*h₂ems-,Y,,,missingtitle
उच्छ्,,,Y,N,*ut-,Y,,,missingtitle
ध्रज्,,,Y,N,*dʰreǵʰ-,N,*dʰreǵ-,*dʰráȷ́-,ok
ध्रञ्ज्,,,Y,N,*dʰrenǵʰ-,,,,missingtitle
अण्ट्,,,Y,N,*h₂ned-,Y,,,missingtitle
रेब्,,,Y,N,*rebʰ-,Y,,,missingtitle
धृज्,,,Y,N,*dʰreǵʰ-,N,,,missingtitle
धृञ्ज्,,,Y,N,*dʰer-,N,,,missingtitle
ध्वज्,,,Y,-,,Y,,,no_pie_found
ध्वञ्ज्,,,Y,-,,Y,,,missingtitle
सल्,,,Y,N,*sal-,N,,,no_sanskrit_section
कूज्,,,Y,-,,Y,,,missingtitle
भृष्,,,Y,N,*bʰerǵʰ-,,,,missingtitle
अर्ज्,,,Y,N,*h₂reǵ-,,,,no_pie_found
सर्ज्,,,Y,N,*serǵʰ-,,,,missingtitle
गर्ज्,,,Y,Y,*ǵerh₂-,,,,missingtitle
तर्ज्,,,Y,N,*terkʷ-,N,*tergʷ-,*tarȷ́-; *tarǰ-,ok
कर्ज्,,,Y,N,*kers-,Y,,,missingtitle
खर्ज्,,,Y,N,*ghers-,Y,,,missingtitle
अज्,,,Y,N,*h₂éǵʰ-,,*h₂eǵ-,,ok
तेज्,,,Y,N,*steygʷʰ-,,,,no_sanskrit_section
खज्,,,Y,N,*ghedh-,Y,,,missingtitle
कव्,,,Y,N,*kew-,Y,,,missingtitle
खञ्ज्,,,Y,N,*ǵʰens-,Y,,,missingtitle
एज्,,,Y,N,*h₂eǵ-,Y,,,missingtitle
स्फूर्ज्,,,Y,N,*(s)p(h)er(ǵ)-,Y,,,missingtitle
क्षि,,,N,N,*tḱey-,,*tk-éh₁-; *tek-; *tḱey-; *dʰgʷʰey-,*gẓʰi-; *gžʰi-,ok
क्षीज्,,,Y,N,*ǵʰtei̯-,Y,,,missingtitle
लज्,,,Y,N,*led-,Y,,,no_sanskrit_section
लञ्ज्,,,Y,N,*lenk-,Y,,,missingtitle
लाज्,,,Y,N,*las-,Y,,,no_sanskrit_section
लाञ्ज्,,,Y,N,*sleg-,Y,,,missingtitle
जज्,,,Y,N,*gag-,Y,,,no_sanskrit_section
जञ्ज्,,,Y,N,*gag-,Y,,,missingtitle
तुज्,,,Y,N,*tewk-,Y,*(s)tewg-,,ok
तुञ्ज्,,,Y,N,*tewk-,Y,,,no_pie_found
गज्,,,Y,Y,*ǵʰeh₂-,N,,,no_pie_found
गञ्ज्,,,Y,Y,*gʷeyH-,N,,*gang-,ok
गृज्,,,Y,N,*gʷerH₂-,N,,,missingtitle
गृञ्ज्,,,Y,Y,*ǵʷerh₂-,N,,,no_pie_found
मुज्,,,Y,N,*mewǵ-,Y,,,missingtitle
मुञ्ज्,,,Y,N,*mewǵ-,N,,,missingtitle
वज्,,,Y,N,*weǵʰ-,N,*weǵ-; *h₂ewg-,*waȷ́-; *Hawǰ-,ok
व्रज्,,,Y,N,*wreǵ-,N,,,missingtitle
अट्ट्,,,Y,-,,Y,,,no_pie_found
वेष्ट्,,,Y,N,*wes-,,,,no_pie_found
चेष्ट्,,,Y,N,*kʷeis-,Y,*keyh₂-,,ok
गोष्ट्,,,Y,-,,,,,no_sanskrit_section
लोष्ट्,,,Y,Y,*lewH-,Y,,,missingtitle
घट्ट्,,,Y,N,*ghedh-,Y,,,no_pie_found
स्फुट्,,,Y,N,*spleit-,,*bʰel-,,ok
अण्ठ्,,,Y,N,*h₂en-,Y,,,no_pie_found
वण्ठ्,,,Y,N,*wendʰ-,Y,,,missingtitle
मण्ठ्,,,Y,N,*men-,Y,,,missingtitle
कण्ठ्,,,Y,N,*kan-,Y,,,no_pie_found
मुण्ठ्,,,Y,N,*mew-,Y,,,missingtitle
हेठ्,,,Y,-,,Y,,,missingtitle
एठ्,,,Y,-,,Y,,,missingtitle
हिण्ड्,,,Y,-,,Y,,,no_pie_found
हुण्ड्,,,Y,-,,Y,,,missingtitle
कुण्ड्,,,Y,N,*gʷʰen-,Y,,,no_pie_found
वण्ड्,,,Y,N,*wendʰ-,Y,,,missingtitle
मण्ड्,mand-,,Y,N,*mend-,Y,,,no_pie_found
भण्ड्,,,Y,N,*bʰendʰ-,Y,,,missingtitle
पिण्ड्,,,Y,N,*peyt-,N,,,no_pie_found
मुण्ड्,,,Y,-,,Y,,,no_pie_found
तुण्ड्,,,Y,Y,*stewh₂-,Y,,,no_pie_found
हुण्ड्,,,Y,-,,Y,,,missingtitle
स्फुण्ड्,,,Y,N,*spond-,Y,,,missingtitle
चण्ड्,,,Y,N,*skend-,Y,,,no_pie_found
शण्ड्,,,Y,-,,Y,,,missingtitle
तण्ड्,,,Y,N,*tend-,Y,,,missingtitle
पण्ड्,,,Y,N,*pend-,N,,,no_pie_found
कण्ड्,"kand-, skand-, and Indo-Iranian (s)kend-",,Y,N,*kʷend-,N,,,missingtitle
खण्ड्,,,Y,N,*skend-,Y,,,no_pie_found
हेड्,,,Y,N,*gʷʰedʰ-,N,*ǵʰeysd-,*źʰáyẓḍas; *ȷ́ʰáyždas,ok
होड्,,,Y,N,*sed-,Y,,,no_pie_found
बाड्,,,Y,Y,*gʷeh₂-,Y,,,missingtitle
वाड्,,,Y,Y,*gʷeh₂-,Y,,,no_sanskrit_section
द्राड्,,,Y,N,*dʰreh₁gʷʰ-,Y,,,missingtitle
ध्राड्,,,Y,N,*dʰregʷʰ-,Y,,,missingtitle
शाड्,,,Y,N,*sed-,Y,,,missingtitle
शौट्,,,Y,N,*kʷet-,Y,,,missingtitle
यौट्,,,Y,N,*yewd-,Y,,,missingtitle
मेड्,,,Y,N,*med-,,,,missingtitle
म्रेड्,,,Y,N,*meld-,Y,*wreyḱ-,,ok
म्लेट्,,,Y,Y,*melh₂-,Y,,,missingtitle
चट्,,,Y,-,,Y,,,missingtitle
कट्,k̑at-,,Y,N,*kat-,N,*(s)kel-,,ok
अट्,at-,,Y,N,*h₂ed-,Y,*h₂elh₂-,,ok
पट्,,,Y,N,*pet-,N,*(s)pelH-,,ok
रट्,,,Y,N,*ret-,Y,,,missingtitle
लट्,lat-,,Y,Y,*leh₁-,Y,,,no_pie_found
शट्,,,Y,N,*sekʷ-,Y,,,missingtitle
वट्,,,Y,N,*wāt-,Y,,,no_pie_found
किट्,,,Y,N,*skheid-,Y,,,no_pie_found
खिट्,,,Y,-,,Y,,,no_pie_found
शिट्,,,Y,N,*skeyt-,Y,,,missingtitle
सिट्,,,Y,N,*sey-,Y,,,missingtitle
जट्,,,Y,N,*gʷʰedʰ-,Y,,,no_pie_found
झट्,,,Y,-,,Y,,,no_pie_found
भट्,bhāt- : bhət-,,Y,N,*bheidh-,Y,,,no_pie_found
तट्,,,Y,N,*tet-,Y,,,no_pie_found
खट्,,,Y,N,*kadh-,Y,,,no_pie_found
नट्,,,Y,N,*(s)ned-,Y,,,no_pie_found
पिट्,,,Y,N,*pē(i)t-,Y,,,no_pie_found
हट्,,,Y,N,*ghed-,Y,,,missingtitle
सट्,,,Y,N,*sed-,,,,missingtitle
लुट्,,,Y,Y,*lewH-,Y,,,no_pie_found
लुड्,,,Y,-,,,,,no_pie_found
चिट्,,,Y,-,,,,,missingtitle
विट्,,,Y,-,,,,,no_pie_found
बिट्,,,Y,-,,,,,missingtitle
हिट्,,,Y,N,*ǵʰedʰ-,N,,,missingtitle
इट्,,,Y,N,*h₁ey-,,,,no_sanskrit_section
किट्,,,Y,N,*skheid-,Y,,,no_pie_found
कट्,k̑at-,,Y,N,*kat-,N,*(s)kel-,,ok
चुण्ट्,,,Y,N,*gew-,Y,,,missingtitle
मण्ड्,mand-,,Y,N,*mend-,Y,,,no_pie_found
कुण्ड्,,,Y,N,*gʷʰen-,Y,,,no_pie_found
कुण्ठ्,,,Y,N,*kont-,Y,,,no_pie_found
मुड्,,,Y,N,*smeud-,Y,,,missingtitle
प्रुड्,,,Y,N,*prewd-,Y,,,missingtitle
मुट्,,,Y,N,*mewt-,Y,,,no_pie_found
पुड्,,,Y,N,*bʰewdʰ-,Y,,,missingtitle
चुण्ड्,,,Y,-,,Y,,,missingtitle
मुण्ड्,,,Y,-,,Y,,,no_pie_found
पुण्ड्,,,Y,-,,Y,,,missingtitle
रुण्ट्,,,Y,-,,Y,,,missingtitle
लुण्ट्,,,Y,-,,Y,,,no_pie_found
रुण्ठ्,,,Y,N,*Hrewdʰ-,Y,,,missingtitle
लुण्ठ्,,,Y,-,,Y,,,missingtitle
रुण्ड्,,,Y,N,*Hrewdʰ-,Y,,,missingtitle
लुण्ड्,,,Y,Y,*lewH-,Y,,,missingtitle
वण्ट्,,,Y,N,*wend-,Y,,,no_pie_found
स्फण्ट्,,,Y,-,,Y,,,missingtitle
स्फुट्,,,Y,N,*spleit-,,*bʰel-,,ok
स्फुण्ट्,,,Y,N,*spond-,Y,,,missingtitle
पठ्,,,Y,Y,*peth₂-,N,,,no_pie_found
वठ्,,,Y,-,,Y,,,missingtitle
हौड्,,,Y,N,*h₂ed-,Y,,,missingtitle
मठ्,,,Y,N,*mendʰ-,Y,,,no_pie_found
कठ्,,,Y,N,*kat-,Y,,,no_pie_found
रठ्,,,Y,N,*ret-,Y,,,missingtitle
रट्,,,Y,N,*ret-,Y,,,missingtitle
हठ्,,,Y,N,*dʰegʷʰ-,Y,,,no_pie_found
रुठ्,,,Y,N,*h₁rewdʰ-,Y,,,missingtitle
लुठ्,,,Y,N,*lewdʰ-,Y,,,no_pie_found
ऊठ्,,,Y,N,*h₂ewd-,Y,,,missingtitle
उठ्,,,Y,N,*h₁ewd-,Y,,,no_sanskrit_section
पिठ्,,,Y,Y,*pi-th₂-,Y,,,missingtitle
शठ्,,,Y,-,,Y,,,no_pie_found
शुठ्,,,Y,-,,Y,,,missingtitle
शूठ्,,,Y,N,*skewd-,Y,,,missingtitle
कुण्ठ्,,,Y,N,*kont-,Y,,,no_pie_found
लुण्ठ्,,,Y,-,,Y,,,missingtitle
शुण्ठ्,,,Y,-,,Y,,,no_pie_found
रुण्ठ्,,,Y,N,*Hrewdʰ-,Y,,,missingtitle
लुण्ठ्,,,Y,-,,Y,,,missingtitle
चुड्ड्,,,Y,-,,,,,missingtitle
अड्ड्,,,Y,N,*h₂ed-,N,,,missingtitle
कड्ड्,,,Y,N,*sked-,Y,,,missingtitle
क्रीड्,,,Y,N,*ḱrey-,,,*kriẓḍ-; *križd-; *krisd-,ok
तुड्,,,Y,N,*(s)tewd-,N,,,missingtitle
तूड्,,,Y,N,*(s)teud-,N,,,missingtitle
हुड्,,,Y,N,*ǵʰew-,Y,,,no_pie_found
हूड्,,,Y,-,,,,,missingtitle
होड्,,,Y,N,*sed-,Y,,,no_pie_found
रौड्,,,Y,N,*reudh-,Y,,,missingtitle
रोड्,,,Y,N,*h₁re(dʰ)-,Y,,,no_sanskrit_section
लोड्,,,Y,N,*h₁leh₁d-,Y,,,missingtitle
अड्,,,Y,N,*h₂ed-,N,,,missingtitle
