sanskrit_root,set,iecor_pie_root,iecor_has_laryngeal,iecor_ends_H,iecor_ends_CH,original_set,authoritative_set,dhatu_classes
जम्,Y,*gem-,N,N,N,Y,Y,1:Y
जिम्,Y,*gem-,N,N,N,Y,Y,1:Y
मय्,Y,*meh₁-,Y,N,N,Y,Y,1:Y
तय्,Y,*teh₂-,Y,N,N,Y,Y,1:Y
दय्,Y,*deh₁-,Y,N,N,Y,Y,1:Y
शल्,Y,*skel-,N,N,N,Y,Y,1:Y;1:Y
कल्,Y,*k̑el-,N,N,N,Y,Y,1:Y;10:Y
कल्ल्,Y,*k̑el-,N,N,N,Y,Y,1:Y
गेव्,Y,*gʷeh₂-,Y,N,N,Y,Y,1:Y
ईर्ष्य्,Y,*h₁ers-,Y,N,N,Y,Y,1:Y
अल्,Y,*h₂el-,Y,N,N,Y,Y,1:Y
फल्,Y,*bʰel-,N,N,N,Y,Y,1:Y;1:Y
मील्,Y,*melh₂-,Y,N,N,Y,Y,1:Y
पील्,Y,*pel-,N,N,N,Y,Y,1:Y
नील्,Y,*nei̯-,N,N,N,Y,Y,1:Y
कील्,Y,*gʷelH-,Y,Y,Y,Y,Y,1:Y
तूल्,Y,*telh₂-,Y,N,N,Y,Y,1:Y
पूल्,Y,*pelh₂-,Y,N,N,Y,Y,1:Y;10:Y
फल्,Y,*bʰel-,N,N,N,Y,Y,1:Y;1:Y
फुल्ल्,Y,*bʰel-,N,N,N,Y,Y,1:Y
चिल्ल्,Y,*skel-,N,N,N,Y,Y,1:Y
चेल्ल्,Y,*k̑el-,N,N,N,Y,Y,1:Y
पेल्,Y,*pelh₂-,Y,N,N,Y,Y,1:Y
सेल्,Y,*sel-,N,N,N,Y,Y,1:Y
खल्,Y,*skel-,N,N,N,Y,Y,1:Y
गल्,Y,*gʷelH-,Y,Y,Y,Y,Y,1:Y;10:Y
सल्,Y,*sal-,N,N,N,Y,Y,1:Y;1:Y;1:Y
धोर्,Y,*dʰer-,N,N,N,Y,Y,1:Y
त्सर्,Y,*ters-,N,N,N,Y,Y,1:Y
क्मर्,Y,*gem-,N,N,N,Y,Y,1:Y
अभ्र्,Y,*nebʰ-,N,N,N,Y,Y,1:Y
चर्,Y,*kʷer-,N,N,N,Y,Y,1:Y;10:Y
तीव्,Y,*stei̯gʰ-,N,N,N,Y,Y,1:Y
गूर्व्,Y,*gʷerH-,Y,Y,Y,Y,Y,1:Y
पूर्व्,Y,*pel-,N,N,N,Y,Y,1:Y;10:Y
पर्व्,Y,*per-,N,N,N,Y,Y,1:Y
मर्व्,Y,*mer-,N,N,N,Y,Y,1:Y
चर्व्,Y,*gʰer-,N,N,N,Y,Y,1:Y
भर्व्,Y,*bʰer-,N,N,N,Y,Y,1:Y
बंह्,Y,*bʰeng̑ʰ-,N,N,N,Y,Y,1:Y
कर्व्,Y,*k̑er-,N,N,N,Y,Y,1:Y
गर्व्,Y,*gʷerH-,Y,Y,Y,Y,Y,1:Y
शर्व्,Y,*k̑er-,N,N,N,Y,Y,1:Y
सर्व्,Y,*ser-,N,N,N,Y,Y,1:Y
इन्व्,Y,*h₁ei̯-,Y,N,N,Y,Y,1:Y
मिन्व्,Y,*mei̯-,N,N,N,Y,Y,1:Y
धिन्व्,Y,*dʰenh₂-,Y,N,N,Y,Y,1:Y
धन्व्,Y,*dʰen-,N,N,N,Y,Y,1:Y
मव्,Y,*meh₂-,Y,N,N,Y,Y,1:Y
अव्,Y,*h₂eu̯-,Y,N,N,Y,Y,1:Y
ईक्ष्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
भाष्,Y,*bʰeh₂-,Y,N,N,Y,Y,1:Y
नेष्,Y,*ned-,N,N,N,Y,Y,1:Y
हेष्,Y,*h₂egʰ-,Y,N,N,Y,Y,1:Y
भास्,Y,*bʰeh₂-,Y,N,N,Y,Y,1:Y
रास्,Y,*dʰeh₁-,Y,N,N,Y,Y,1:Y
नस्,Y,*ned-,N,N,N,Y,Y,1:Y
मंह्,Y,*men-,N,N,N,Y,Y,1:Y;10:Y
गर्ह्,Y,*gʷerH-,Y,Y,Y,Y,Y,1:Y;10:Y
बर्ह्,Y,*bʰerg̑ʰ-,N,N,N,Y,Y,1:Y;10:Y;10:Y
बल्ह्,Y,*bʰel-,N,N,N,Y,Y,1:Y;10:Y
प्लिह्,Y,*plek̑-,N,N,N,Y,Y,1:Y
बाह्,Y,*gʷeh₂-,Y,N,N,Y,Y,1:Y
काश्,Y,*kʷek̑-,N,N,N,Y,Y,1:Y;4:Y
गृह्,N,*gʰrebʰ-,N,N,N,N,,1:?
घष्,Y,*g̑ʰes-,N,N,N,Y,Y,1:Y
तृक्ष्,Y,*terkʷ-,N,N,N,Y,Y,1:Y
पक्ष्,Y,*pekʷ-,N,N,N,Y,Y,1:Y;10:Y
सल्,Y,*sal-,N,N,N,Y,Y,1:Y;1:Y;1:Y
मूष्,Y,*mūs,N,N,N,Y,Y,1:Y
कष्,Y,*kes-,N,N,N,Y,Y,1:Y
शिष्,Y,*sekʷ-,N,N,N,Y,mixed,1:N;7:N;10:Y
जष्,Y,*g̑ʰes-,N,N,N,Y,Y,1:Y
मुष्,Y,*mūs,N,N,N,Y,Y,1:Y;9:Y
मृष्,Y,*mer-,N,N,N,Y,Y,1:Y;4:Y;10:Y
हृष्,Y,*g̑ʰers-,N,N,N,Y,Y,1:Y;4:Y
ह्रस्,Y,*kers-,N,N,N,Y,Y,1:Y
झर्झ्,Y,*g̑ʰers-,N,N,N,Y,Y,1:Y;6:Y
पिस्,Y,*pek̑-,N,N,N,Y,Y,1:Y;10:Y
पेस्,Y,*pekʷ-,N,N,N,Y,Y,1:Y
पिश्,Y,*pei̯k̑-,N,N,N,Y,Y,1:Y;6:Y
पेश्,Y,*pek̑-,N,N,N,Y,Y,1:Y
शश्,Y,*ses-,N,N,N,Y,Y,1:Y
बृह्,N,*bʰerg̑ʰ-,N,N,N,N,Y,1:Y;6:?
बृंह्,Y,*bʰerg̑ʰ-,N,N,N,Y,Y,1:Y;10:Y
नभ्,Y,*nebʰ-,N,N,N,Y,Y,1:Y;4:Y;9:Y
शृध्,Y,*ser-,N,N,N,Y,Y,1:Y;1:Y;10:Y
ज्वर्,Y,*gʷʰer-,N,N,N,Y,Y,1:Y
लग्,Y,*leg̑-,N,N,N,Y,Y,1:Y;10:Y
सग्,Y,*sekʷ-,N,N,N,Y,Y,1:Y
अक्,Y,*h₂eg̑-,Y,N,N,Y,Y,1:Y
शण्,Y,*ken-,N,N,N,Y,Y,1:Y
क्नथ्,Y,*g̑enu-,N,N,N,Y,Y,1:Y
क्रथ्,Y,*kert-,N,N,N,Y,Y,1:Y
स्मृ,N,*smer-,N,N,N,N,N,1:N;1:N;5:N
दॄ,Y,*der-,N,N,N,Y,Y,1:Y;9:Y
नॄ,Y,*h₂ner-,Y,N,N,Y,Y,1:Y;9:Y
ज्ञा,Y,*g̑neh₃-,Y,N,N,Y,mixed,1:Y;9:N;10:Y
मद्,Y,*med-,N,N,N,Y,Y,1:Y;4:Y;10:Y
तृह्,Y,*terh₂-,Y,N,N,Y,Y,1:Y;6:?;7:Y
मेट्,Y,*med-,N,N,N,Y,Y,1:Y
मक्ष्,Y,*mag̑-,N,N,N,Y,Y,1:Y
राज्,Y,*h₃reg̑-,Y,N,N,Y,Y,1:Y
सम्,Y,*sem-,N,N,N,Y,Y,1:Y;4:Y
ट्वल्,Y,*telh₂-,Y,N,N,Y,Y,1:Y
हल्,Y,*kelh₂-,Y,N,N,Y,Y,1:Y
पल्,Y,*pel-,N,N,N,Y,Y,1:Y;10:Y
बल्,Y,*bel-,N,N,N,Y,Y,1:Y;10:Y
पुल्,Y,*pelh₂-,Y,N,N,Y,Y,1:Y;10:Y;10:Y
शल्,Y,*skel-,N,N,N,Y,Y,1:Y;1:Y
पत्,Y,*peth₂-,Y,N,N,Y,Y,1:Y
सह्,Y,*seg̑ʰ-,N,N,N,Y,Y,1:Y;4:Y;10:Y
सद्,Y,*sed-,N,N,N,Y,mixed,1:N;6:N;10:Y
शद्,N,*sed-,N,N,N,N,N,1:N;6:N
बुध्,N,*bʰeu̯dʰ-,N,N,N,N,mixed,1:Y;1:Y;4:N
अच्,Y,*h₂ek̑-,Y,N,N,Y,Y,1:Y
रेट्,Y,*ret-,N,N,N,Y,Y,1:Y
मेद्,Y,*med-,N,N,N,Y,Y,1:Y
मेध्,Y,*med-,N,N,N,Y,Y,1:Y
निद्,Y,*sed-,N,N,N,Y,Y,1:Y
नेद्,Y,*ned-,N,N,N,Y,Y,1:Y
शृध्,Y,*ser-,N,N,N,Y,Y,1:Y;1:Y;10:Y
बुध्,N,*bʰeu̯dʰ-,N,N,N,N,mixed,1:Y;1:Y;4:N
वेन्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y
खन्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y
दाश्,Y,*deh₃-,Y,N,N,Y,Y,1:Y;5:Y
अस्,Y,*h₁es-,Y,N,N,Y,Y,1:Y;2:Y;4:Y
अष्,Y,*h₁ed-,Y,N,N,Y,Y,1:Y
स्पश्,Y,*spek̑-,N,N,N,Y,Y,1:Y;10:Y
भक्ष्,Y,*bʰegʷ-,N,N,N,Y,Y,1:Y;10:Y
दास्,Y,*deh₃-,Y,N,N,Y,Y,1:Y
माह्,Y,*meh₂-,Y,N,N,Y,Y,1:Y
भृ,N,*bʰer-,N,N,N,N,N,1:N;3:N
हृ,N,*gʰer-,N,N,N,N,N,1:N;3:N
धृ,N,*dʰer-,N,N,N,N,N,1:N;1:N;6:N
धे,N,*dʰeh₁-,Y,N,N,N,N,1:N
म्लै,N,*melh₁-,Y,N,N,N,N,1:N
द्रै,N,*der-,N,N,N,N,N,1:N
ध्रै,N,*dʰer-,N,N,N,N,N,1:N
क्षै,N,*g̑ʰei̯-,N,N,N,N,N,1:N
जै,N,*g̑enh₁-,Y,N,N,N,N,1:N
सै,N,*seh₁-,Y,N,N,N,N,1:N
कै,N,*kʷei̯-,N,N,N,N,N,1:N
शै,N,*k̑ei̯-,N,N,N,N,N,1:N
श्रै,N,*k̑lei̯-,N,N,N,N,N,1:N
दै,N,*deh₃-,Y,N,N,N,N,1:N
स्था,N,*steh₂-,Y,N,N,N,N,1:N
म्ना,N,*men-,N,N,N,N,N,1:N
दा,N,*deh₃-,Y,N,N,N,N,1:N;2:N;3:N
ह्वृ,N,*gʷʰer-,N,N,N,N,N,1:N;1:N
स्मृ,N,*smer-,N,N,N,N,N,1:N;1:N;5:N
ह्वृ,N,*gʷʰer-,N,N,N,N,N,1:N;1:N
सृ,N,*ser-,N,N,N,N,N,1:N;3:N
ऋ,N,*h₁er-,Y,N,N,N,N,1:N;3:N
गृ,Y,*gʰer-,N,N,N,Y,mixed,1:N;10:Y
घृ,Y,*gʰer-,N,N,N,Y,mixed,1:N;3:N;10:Y
सु,N,*h₁su-,Y,N,N,N,N,1:N;2:N;5:N
जृ,N,*g̑erh₂-,Y,N,N,N,N,1:N
स्मि,Y,*smei̯-,N,N,N,Y,mixed,1:N;10:Y
गा,N,*gʷeh₂-,Y,N,N,N,N,1:N;3:N
धृ,N,*dʰer-,N,N,N,N,N,1:N;1:N;6:N
मे,N,*meh₁-,Y,N,N,N,N,1:N
दे,N,*deh₃-,Y,N,N,N,N,1:N
त्रै,N,*terh₂-,Y,N,N,N,N,1:N
मू,Y,*meh₂-,Y,N,N,Y,Y,1:Y
तॄ,Y,*terh₁-,Y,N,N,Y,Y,1:Y
मान्,Y,*men-,N,N,N,Y,Y,1:Y;10:Y;10:Y
हद्,N,*sed-,N,N,N,N,N,1:N
नम्,N,*nem-,N,N,N,N,N,1:N
गम्,N,*gʷem-,N,N,N,N,N,1:N
तप्,Y,*tep-,N,N,N,Y,mixed,1:N;4:N;10:Y
सञ्ज्,N,*sekʷ-,N,N,N,N,N,1:N
दृश्,N,*derk̑-,N,N,N,N,N,1:N
दह्,N,*dʰegʷʰ-,N,N,N,N,N,1:N
मिह्,N,*mei̯gʰ-,N,N,N,N,N,1:N
पच्,N,*pekʷ-,N,N,N,N,N,1:N
सच्,Y,*sekʷ-,N,N,N,Y,Y,1:Y;1:Y
अद्,N,*h₁ed-,Y,N,N,N,N,2:N
हन्,N,*gʷʰen-,N,N,N,N,N,2:N
दिह्,N,*dʰei̯g̑ʰ-,N,N,N,N,N,2:N
ईर्,Y,*h₁er-,Y,N,N,Y,Y,2:Y;10:Y
आस्,Y,*h₁es-,Y,N,N,Y,Y,2:Y
शास्,Y,*keh₂-,Y,N,N,Y,Y,2:Y;2:Y
कश्,Y,*kes-,N,N,N,Y,Y,2:Y
निञ्ज्,Y,*nei̯gʷ-,N,N,N,Y,Y,2:Y
सू,Y,*sū̆-,N,N,N,Y,Y,2:?;4:?;6:Y
सु,N,*h₁su-,Y,N,N,N,N,1:N;2:N;5:N
भा,N,*bʰeh₂-,Y,N,N,N,N,2:N
प्सा,N,*bʰeh₂-,Y,N,N,N,N,2:N
दा,N,*deh₃-,Y,N,N,N,N,1:N;2:N;3:N
ख्या,N,*g̑neh₃-,Y,N,N,N,N,2:N
प्रा,N,*per-,N,N,N,N,N,2:N
मा,N,*meh₂-,Y,N,N,N,N,2:N;3:N;4:N
अस्,Y,*h₁es-,Y,N,N,Y,Y,1:Y;2:Y;4:Y
जक्ष्,Y,*g̑ʰes-,N,N,N,Y,Y,2:Y
दरिद्रा,Y,*dʰer-,N,N,N,Y,Y,2:Y
चकास्,Y,*keh₂-,Y,N,N,Y,Y,2:Y
शास्,Y,*keh₂-,Y,N,N,Y,Y,2:Y;2:Y
दीधी,Y,*dʰeh₁-,Y,N,N,Y,Y,2:Y
सस्,Y,*seh₁-,Y,N,N,Y,Y,2:Y
संस्त्,Y,*steh₂-,Y,N,N,Y,Y,2:Y
पॄ,Y,*pelh₂-,Y,N,N,Y,Y,3:Y;9:Y;10:Y
पृ,N,*pelh₂-,Y,N,N,N,mixed,3:Y;5:N;6:N
भृ,N,*bʰer-,N,N,N,N,N,1:N;3:N
मा,N,*meh₂-,Y,N,N,N,N,2:N;3:N;4:N
हा,N,*seh₂-,Y,N,N,N,N,3:N;3:N
हा,N,*seh₂-,Y,N,N,N,N,3:N;3:N
दा,N,*deh₃-,Y,N,N,N,N,1:N;2:N;3:N
धा,N,*dʰeh₁-,Y,N,N,N,N,3:N
घृ,Y,*gʰer-,N,N,N,Y,mixed,1:N;3:N;10:Y
हृ,N,*gʰer-,N,N,N,N,N,1:N;3:N
ऋ,N,*h₁er-,Y,N,N,N,N,1:N;3:N
सृ,N,*ser-,N,N,N,N,N,1:N;3:N
धन्,Y,*dʰen-,N,N,N,Y,Y,3:Y
जन्,Y,*g̑enh₁-,Y,N,N,Y,Y,3:Y;4:Y
गा,N,*gʷeh₂-,Y,N,N,N,N,1:N;3:N
त्रस्,Y,*tres-,N,N,N,Y,Y,4:Y;10:Y
कुथ्,Y,*k̑eu̯-,N,N,N,Y,Y,4:Y
स्तीम्,Y,*stei̯gʰ-,N,N,N,Y,Y,4:Y
सह्,Y,*seg̑ʰ-,N,N,N,Y,Y,1:Y;4:Y;10:Y
जॄ,Y,*g̑erh₂-,Y,N,N,Y,Y,4:Y;9:Y;10:Y
झॄ,Y,*gʰer-,N,N,N,Y,Y,4:Y;9:Y
सू,Y,*sū̆-,N,N,N,Y,Y,2:?;4:?;6:Y
मा,N,*meh₂-,Y,N,N,N,N,2:N;3:N;4:N
सो,N,*seh₁-,Y,N,N,N,N,4:N
दो,N,*deh₃-,Y,N,N,N,N,4:N
जन्,Y,*g̑enh₁-,Y,N,N,Y,Y,3:Y;4:Y
पूर्,Y,*pleh₁-,Y,N,N,Y,Y,4:Y;10:Y
गूर्,Y,*gʷerH-,Y,Y,Y,Y,Y,4:Y;10:Y
तप्,Y,*tep-,N,N,N,Y,mixed,1:N;4:N;10:Y
काश्,Y,*kʷek̑-,N,N,N,Y,Y,1:Y;4:Y
मृष्,Y,*mer-,N,N,N,Y,Y,1:Y;4:Y;10:Y
पद्,N,*ped-,N,N,N,N,N,4:N
बुध्,N,*bʰeu̯dʰ-,N,N,N,N,mixed,1:Y;1:Y;4:N
मन्,Y,*men-,N,N,N,Y,mixed,4:N;8:Y;10:Y
शक्,N,*seg̑ʰ-,N,N,N,N,mixed,4:Y;5:N
सिध्,N,*seh₂-,Y,N,N,N,mixed,1:Y;1:?;1:Y;4:N
नश्,N,*nek̑-,N,N,N,N,,4:?
दृप्,Y,*dʰrebʰ-,N,N,N,Y,Y,4:?;6:Y;10:Y
मुह्,N,*mūs,N,N,N,N,,4:?
दम्,Y,*dem-,N,N,N,Y,Y,4:Y
मद्,Y,*med-,N,N,N,Y,Y,1:Y;4:Y;10:Y
अस्,Y,*h₁es-,Y,N,N,Y,Y,1:Y;2:Y;4:Y
तस्,Y,*teh₂-,Y,N,N,Y,Y,4:Y
दस्,Y,*deh₃-,Y,N,N,Y,Y,4:Y;10:Y
मुस्,Y,*mūs,N,N,N,Y,Y,4:Y
सम्,Y,*sem-,N,N,N,Y,Y,1:Y;4:Y
भृश्,Y,*bʰer-,N,N,N,Y,Y,4:Y
तृष्,Y,*ters-,N,N,N,Y,Y,4:Y
हृष्,Y,*g̑ʰers-,N,N,N,Y,Y,1:Y;4:Y
नभ्,Y,*nebʰ-,N,N,N,Y,Y,1:Y;4:Y;9:Y
सु,N,*h₁su-,Y,N,N,N,N,1:N;2:N;5:N
चि,Y,*kʷei̯-,N,N,N,Y,mixed,5:N;10:Y;10:Y
स्तृ,N,*sterh₃-,Y,N,N,N,N,5:N
कृ,N,*kʷer-,N,N,N,N,N,5:N;8:N
पृ,N,*pelh₂-,Y,N,N,N,mixed,3:Y;5:N;6:N
स्पृ,N,*sper-,N,N,N,N,N,5:N
स्मृ,N,*smer-,N,N,N,N,N,1:N;1:N;5:N
आप्,Y,*h₂ep-,Y,N,N,Y,mixed,5:N;10:Y
शक्,N,*seg̑ʰ-,N,N,N,N,mixed,4:Y;5:N
अश्,Y,*h₁ed-,Y,N,N,Y,Y,5:?;9:Y
स्तिघ्,Y,*stei̯gʰ-,N,N,N,Y,Y,5:Y
तिग्,Y,*stei̯gʰ-,N,N,N,Y,Y,5:Y
सघ्,Y,*sekʷ-,N,N,N,Y,Y,5:Y
अह्,Y,*h₂egʰ-,Y,N,N,Y,Y,5:Y
दघ्,Y,*dʰegʷʰ-,N,N,N,Y,Y,5:Y
चिरि,Y,*kʷer-,N,N,N,Y,Y,5:Y
दाश्,Y,*deh₃-,Y,N,N,Y,Y,1:Y;5:Y
दृ,N,*dʰer-,N,N,N,N,N,5:N;6:N
दिश्,N,*dei̯k̑-,N,N,N,N,N,6:N
झर्झ्,Y,*g̑ʰers-,N,N,N,Y,Y,1:Y;6:Y
तृफ्,Y,*dʰrebʰ-,N,N,N,Y,Y,6:Y
दृप्,Y,*dʰrebʰ-,N,N,N,Y,Y,4:?;6:Y;10:Y
स्तृंह्,N,*sterh₃-,Y,N,N,N,,6:?
उभ्,Y,*h₂ep-,Y,N,N,Y,Y,6:Y
दृभ्,Y,*dʰrebʰ-,N,N,N,Y,Y,6:Y;10:Y;10:Y
पृड्,Y,*per-,N,N,N,Y,Y,6:Y
पृण्,Y,*pelh₁-,Y,N,N,Y,Y,6:Y
मृण्,Y,*mer-,N,N,N,Y,Y,6:Y
तुण्,Y,*ten-,N,N,N,Y,Y,6:Y
पुण्,Y,*pelh₁-,Y,N,N,Y,Y,6:Y;10:Y
कुण्,Y,*k̑eu̯-,N,N,N,Y,Y,6:Y
घुण्,Y,*gʷʰen-,N,N,N,Y,Y,1:Y;6:Y
घूर्ण्,Y,*gʷʰer-,N,N,N,Y,Y,1:Y;6:Y
कुर्,Y,*kʷer-,N,N,N,Y,Y,6:Y
पुर्,Y,*pleh₁-,Y,N,N,Y,Y,6:Y
बृह्,N,*bʰerg̑ʰ-,N,N,N,N,Y,1:Y;6:?
तृह्,Y,*terh₂-,Y,N,N,Y,Y,1:Y;6:?;7:Y
स्तृह्,N,*sterh₃-,Y,N,N,N,,6:?
किल्,Y,*k̑el-,N,N,N,Y,Y,6:Y;10:Y
बिल्,Y,*bel-,N,N,N,Y,Y,6:Y;10:Y
शिल्,Y,*skel-,N,N,N,Y,Y,6:Y
मिल्,Y,*melh₂-,Y,N,N,Y,Y,6:Y;6:Y
लिख्,Y,*legʰ-,N,N,N,Y,Y,6:Y
गुड्,Y,*gʷelH-,Y,Y,Y,Y,Y,6:Y
छुर्,Y,*(s)ker-,N,N,N,Y,Y,6:Y
